tonight tonite 
paid payed 
realize realise 
favor favour 
favorite favourite 
honor honour 
apologize apologise 
goddamn goddam 
practice practise 
realized realised 
recognize recognise 
center centre 
program programme 
neighborhood neighbourhood 
license licence 
behavior behaviour 
defense defence 
judgment judgement 
damned dammed 
neighbors neighbours 
neighbor neighbour 
theater theatre 
traveling travelling 
honored honoured 
blonde blond 
whiskey whisky 
practicing practising 
marvelous marvellous 
labor labour 
colors colours 
recognized recognised 
tons tonnes 
rumor rumour 
rumors rumours 
focused focussed 
kidnapping kidnaping 
favors favours 
phony phoney 
counselor counsellor 
canceled cancelled 
traveled travelled 
barbecue barbeque 
honorable honourable 
principles principals 
calendar calender 
parlor parlour 
colored coloured 
flavor flavour 
pajamas pyjamas 
armor armour 
mustache moustache 
whiz whizz 
fulfill fulfil 
honors honours 
doughnut donut 
sewing sowing 
canvas canvass 
doughnuts donuts 
doggy doggie 
buses busses 
practiced practised 
apologized apologised 
dialogue dialog 
advisor adviser 
disk disc 
realizes realises 
apologizing apologising 
goody goodie 
girlie girly 
traveler traveller 
flyer flier 
glamour glamor 
baloney bologna 
fiber fibre 
prophecy prophesy 
homey homie 
catalog catalogue 
maneuver manoeuvre 
modeling modelling 
medieval mediaeval 
dependent dependant 
kilometers kilometres 
aging ageing 
publicly publically 
criticize criticise 
lasagna lasagne 
practices practises 
diarrhea diarrhoea 
centers centres 
dyke dike 
recognizes recognises 
chaperone chaperon 
defenses defences 
sewed sowed 
sympathize sympathise 
correspondent corespondent 
granddad grandad 
patronize patronise 
plow plough 
theaters theatres 
aneurysm aneurism 
canceling cancelling 
impostor imposter 
weenie weeny 
labeled labelled 
blondes blonds 
endeavor endeavour 
humorous humerus 
mosquitoes mosquitos 
fibers fibres 
lovable loveable 
behavioral behavioural 
criticizing criticising 
misdemeanor misdemeanour 
travelers travellers 
encyclopedia encyclopaedia 
rumored rumoured 
counselors counsellors 
judgments judgements 
millimeter millimetre 
baptized baptised 
hypnotized hypnotised 
kiddie kiddy 
anesthetic anaesthetic 
echoes echos 
totaled totalled 
centimeters centimetres 
valor valour 
favorable favourable 
neighborhoods neighbourhoods 
realization realisation 
ticks tics 
advisors advisers 
fueled fuelled 
splendor splendour 
centered centred 
demeanor demeanour 
homies homeys 
leapt leaped 
licenses licences 
descendant descendent 
signaling signalling 
gopher gofer 
recognizing recognising 
fetus foetus 
deprivation depravation 
descendants descendents 
disks discs 
rackets racquets 
straitjacket straightjacket 
groveling grovelling 
rigor rigour 
sulfur sulphur 
zeros zeroes 
neighboring neighbouring 
agonizing agonising 
ambience ambiance 
cabbie cabby 
dominoes dominos 
gases gasses 
worshipping worshiping 
floozy floozie 
grueling gruelling 
illicit elicit 
leveled levelled 
likable likeable 
protesters protestors 
feces faeces 
neighborly neighbourly 
plowed ploughed 
skepticism scepticism 
flunky flunkey 
horsey horsy 
pricey pricy 
tranquility tranquillity 
enroll enrol 
offenses offences 
skillful skilful 
commandos commandoes 
meager meagre 
baptize baptise 
volcanoes volcanos 
willful wilful 
pygmy pigmy 
acknowledgment acknowledgement 
hypnotize hypnotise 
moldy mouldy 
nitroglycerin nitroglycerine 
shtick schtick 
sizable sizeable 
smoldering smouldering 
vapor vapour 
antagonize antagonise 
catalogues catalogs 
willfully wilfully 
mucus mucous 
archaeological archeological 
installment instalment 
archaeology archeology 
monies moneys 
nookie nooky 
raccoons racoons 
skeptic sceptic 
specialties specialities 
dykes dikes 
chippy chippie 
honorably honourably 
signaled signalled 
softy softie 
benefited benefitted 
kilometer kilometre 
phosphorus phosphorous 
tyke tike 
behaviors behaviours 
enrollment enrolment 
favoritism favouritism 
misdemeanors misdemeanours 
nohow knowhow 
vapors vapours 
canvases canvasses 
flotation floatation 
kimchi kimchee 
cruelest cruellest 
flamingos flamingoes 
fueling fuelling 
mantelpiece mantlepiece 
sulfate sulphate 
whirs whirrs 
woolen woollen 
luster lustre 
mangoes mangos 
predominantly predominately 
tepee teepee 
worshippers worshipers 
catalogued cataloged 
installments instalments 
jewelers jewellers 
skillfully skilfully 
talkie talky 
agonized agonised 
buffaloes buffalos 
druggie druggy 
spiraling spiralling 
coolie coolly 
dependents dependants 
itemized itemised 
reconnoiter reconnoitre 
tranquilliser tranquillizer 
analog analogue 
centimeter centimetre 
collectible collectable 
totaling totalling 
chilies chillies 
desperadoes desperados 
innuendos innuendoes 
llamas lamas 
movable moveable 
plows ploughs 
whiskeys whiskies 
protester protestor 
adapter adaptor 
busing bussing 
cargos cargoes 
diocese dioceses 
sulfide sulphide 
clamour clamor 
ditzy ditsy 
ghettos ghettoes 
impostors imposters 
minutiae minutia 
peccadilloes peccadillos 
tranquillizers tranquillisers 
compactor compacter 
darky darkie 
gink jink 
magnetised magnetized 
scrunchie scrunchy 
skullduggery skulduggery 
amphitheater amphitheatre 
frescoes frescos 
saccharine saccharin 
dietician dietitian 
gibes jibes 
whingeing whinging 
